O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
WANNIASSA,Erindale College,St Mary MacKillop College - Wanniassa Campus,Wanniassa Hills Primary School,Wanniassa School,Wanniassa School - Junior Campus,St Anthony's Parish Primary School,Trinity Christian School,,,,,,,,,,,,,,,,,
HAWKER,Hawker College,Belconnen High School,Hawker Primary School,,,,,,,,,,,,,,,,,,,,,
NARRABUNDAH,Narrabundah College,Narrabundah Early Childhood School,St Benedict's Primary School,,,,,,,,,,,,,,,,,,,,,
SCULLIN,Southern Cross Early Childhood School,,,,,,,,,,,,,,,,,,,,,,,
LYONS,Lyons Early Childhood School,,,,,,,,,,,,,,,,,,,,,,,
CHISHOLM,Caroline Chisholm School,Caroline Chisholm School - Junior Campus,St Aloysius Catholic Primary School,,,,,,,,,,,,,,,,,,,,,
ISABELLA PLAINS,Isabella Plains Early Childhood School,St Mary MacKillop College,,,,,,,,,,,,,,,,,,,,,,
PHILLIP,The Canberra College,,,,,,,,,,,,,,,,,,,,,,,
DICKSON,Daramalan College,Dickson College,Emmaus Christian School,,,,,,,,,,,,,,,,,,,,,
PEARCE,Marist College Canberra,Melrose High School,Sacred Heart Primary School,,,,,,,,,,,,,,,,,,,,,
GRIFFITH,St Edmund's College Canberra,St Clare's College,Griffith Public School,Griffith North Public School,Griffith East Public School,Kalinda School,Griffith High School,Wade High School,St Patrick's Primary School,Marian Catholic College,,,,,,,,,,,,,,
CAMPBELL,Canberra Grammar School - Northside Infants Campus,Campbell High School,Campbell Primary School,St Thomas More's Primary School,,,,,,,,,,,,,,,,,,,,
RED HILL,Canberra Montessori School - Red Hill Campus,Red Hill Primary School,St Bede's Primary School,Canberra Grammar School - Primary School,Canberra Grammar School,,,,,,,,,,,,,,,,,,,
FORDE,Burgmann Anglican School - Forde Campus,,,,,,,,,,,,,,,,,,,,,,,
HARRISON,Mother Teresa School,Harrison School,,,,,,,,,,,,,,,,,,,,,,
AMAROO,Amaroo School,Good Shepherd Primary School,,,,,,,,,,,,,,,,,,,,,,
ARANDA,Aranda Primary School,St Vincent's Primary School,,,,,,,,,,,,,,,,,,,,,,
MACQUARIE,Canberra High School,Macquarie Primary School,,,,,,,,,,,,,,,,,,,,,,
CHARNWOOD,Charnwood-Dunlop School,St Thomas Aquinas Primary School,Brindabella Christian College - Charnwood campus,,,,,,,,,,,,,,,,,,,,,
EVATT,Evatt Primary School,Miles Franklin Primary School,St Monica's Primary School,,,,,,,,,,,,,,,,,,,,,
FLOREY,Florey Primary School,St Francis Xavier College,St John the Apostle Primary School,,,,,,,,,,,,,,,,,,,,,
FRASER,Fraser Primary School,,,,,,,,,,,,,,,,,,,,,,,
GIRALANG,Giralang Primary School,,,,,,,,,,,,,,,,,,,,,,,
NICHOLLS,Gold Creek School,Holy Spirit Primary School,St John Paul II College,,,,,,,,,,,,,,,,,,,,,
JERVIS BAY,Jervis Bay School,,,,,,,,,,,,,,,,,,,,,,,
KALEEN,University of Canberra High School Kaleen,Kaleen Primary School,Maribyrnong Primary School,St Michael's Primary School,,,,,,,,,,,,,,,,,,,,
BELCONNEN,University of Canberra Senior Secondary College Lake Ginninderra,,,,,,,,,,,,,,,,,,,,,,,
LATHAM,Latham Primary School,,,,,,,,,,,,,,,,,,,,,,,
MACGREGOR,Macgregor Primary School,,,,,,,,,,,,,,,,,,,,,,,
MELBA,Melba Copland Secondary School Copland Campus Years 11 - 12,Mount Rogers Primary School,Melba Copland Secondary School,,,,,,,,,,,,,,,,,,,,,
NGUNNAWAL,Ngunnawal Primary School,,,,,,,,,,,,,,,,,,,,,,,
PALMERSTON,Palmerston District Primary School,,,,,,,,,,,,,,,,,,,,,,,
WEETANGERA,Weetangera Primary School,,,,,,,,,,,,,,,,,,,,,,,
HOLT,Cranleigh School,Kingsford Smith School,,,,,,,,,,,,,,,,,,,,,,
BRADDON,Ainslie School,Merici College,,,,,,,,,,,,,,,,,,,,,,
DEAKIN,Alfred Deakin High School,The Woden School,Canberra Girls Grammar School - Junior School,Canberra Girls Grammar School,,,,,,,,,,,,,,,,,,,,
CURTIN,Curtin Primary School,Holy Trinity Primary School,,,,,,,,,,,,,,,,,,,,,,
FARRER,Farrer Primary School,,,,,,,,,,,,,,,,,,,,,,,
FORREST,Forrest Primary School,,,,,,,,,,,,,,,,,,,,,,,
GARRAN,Garran Primary School,Malkara School,Sts Peter and Paul Primary School,,,,,,,,,,,,,,,,,,,,,
HUGHES,Hughes Primary School,,,,,,,,,,,,,,,,,,,,,,,
LYNEHAM,Lyneham High School,Lyneham Primary School,Brindabella Christian College,,,,,,,,,,,,,,,,,,,,,
WATSON,Majura Primary School,Rosary Primary School,,,,,,,,,,,,,,,,,,,,,,
MAWSON,Mawson Primary School,Canberra Christian School,,,,,,,,,,,,,,,,,,,,,,
AINSLIE,North Ainslie Primary School,,,,,,,,,,,,,,,,,,,,,,,
BARTON,Telopea Park School,,,,,,,,,,,,,,,,,,,,,,,
TORRENS,Torrens Primary School,,,,,,,,,,,,,,,,,,,,,,,
TURNER,Turner School,,,,,,,,,,,,,,,,,,,,,,,
YARRALUMLA,Yarralumla Primary School,,,,,,,,,,,,,,,,,,,,,,,
WARAMANGA,Arawang Primary School,Mount Stromlo High School,St John Vianney's Primary School,,,,,,,,,,,,,,,,,,,,,
BONYTHON,Bonython Primary School,,,,,,,,,,,,,,,,,,,,,,,
CALWELL,Calwell High School,Calwell Primary School,St Francis of Assisi Primary School,,,,,,,,,,,,,,,,,,,,,
CHAPMAN,Chapman Primary School,,,,,,,,,,,,,,,,,,,,,,,
CONDER,Charles Conder Primary School,Lanyon High School,St Clare of Assisi Primary School,,,,,,,,,,,,,,,,,,,,,
DUFFY,Duffy Primary School,,,,,,,,,,,,,,,,,,,,,,,
FADDEN,Fadden Primary School,,,,,,,,,,,,,,,,,,,,,,,
GILMORE,Gilmore Primary School,,,,,,,,,,,,,,,,,,,,,,,
