THE GARDENS,Darwin High School,Northern Territory School of Distance Education,St John's Catholic College,Darwin Middle School,,,,,,,,,,,,,
ALICE SPRINGS,Centralian Senior College,Araluen Christian College,Our Lady of the Sacred Heart Catholic College,Our Lady of the Sacred Heart College - Bath Street Campus,Our Lady of the Sacred Heart College - Sadadeen Road Campus,Alice Springs School Of The Air,Larapinta Primary School,Ross Park Primary School,Sadadeen Primary School,Centralian Middle School,Living Waters Lutheran School,St Philip's College,Yirara College,Yipirinya School,St Joseph's Catholic Flexible Learning Centre,,
ROBINSON RIVER,Kiana School,Robinson River School,,,,,,,,,,,,,,,
LITCHFIELD PARK,Woolaning School,,,,,,,,,,,,,,,,
KARAMA,Holy Family Catholic Primary School,O'Loughlin Catholic College,Karama Primary School,Manunda Terrace Primary School,,,,,,,,,,,,,
CASUARINA,Holy Spirit Catholic Primary School,The Essington International Senior College,,,,,,,,,,,,,,,
WOODROFFE,Sacred Heart Catholic Primary School,Woodroffe Primary School,,,,,,,,,,,,,,,
HUMPTY DOO,St Francis of Assisi Catholic Primary School,Taminmin College,Humpty Doo Primary School,,,,,,,,,,,,,,
KATHERINE EAST,St Joseph's Catholic College,Katherine High School,Casuarina Street Primary School,MacFarlane Primary School,,,,,,,,,,,,,
DARWIN,St Mary's Catholic Primary School,,,,,,,,,,,,,,,,
RAPID CREEK,St Paul's Catholic Primary School,The Essington School Darwin,,,,,,,,,,,,,,,
MOIL,Casuarina Senior College,Moil Primary School,,,,,,,,,,,,,,,
KATHERINE,Kintore Street School,Katherine School Of The Air,Clyde Fenton Primary School,,,,,,,,,,,,,,
MARRARA,NT Christian College,Marrara Christian College,,,,,,,,,,,,,,,
SANDOVER,Arlparra School,,,,,,,,,,,,,,,,
MAPURU,Mapuru Christian School,,,,,,,,,,,,,,,,
IMANPA,Nyangatjatjara College - Imanpa Campus,Imanpa School,,,,,,,,,,,,,,,
KALTUKATJARA,Nyangatjatjara College - Kaltukatjara Campus (Docker River),,,,,,,,,,,,,,,,
KINTORE,Yirara College - Kintore Campus,Walungurru School,,,,,,,,,,,,,,,
HOWARD SPRINGS,Good Shepherd Lutheran College,Howard Springs Primary School,,,,,,,,,,,,,,,
TIWI,Dripstone Middle School,,,,,,,,,,,,,,,,
NHULUNBUY,Nhulunbuy High School,Nhulunbuy Primary School,Nhulunbuy Christian College,,,,,,,,,,,,,,
NIGHTCLIFF,Nightcliff Middle School,Nightcliff Primary School,,,,,,,,,,,,,,,
DRIVER,Palmerston Senior College,Driver Primary School,,,,,,,,,,,,,,,
MALAK,Sanderson Middle School,Malak Primary School,Malak Re-Engagement Centre,,,,,,,,,,,,,,
TENNANT CREEK,Tennant Creek High School,Tennant Creek Primary School,,,,,,,,,,,,,,,
ALAWA,Alawa Primary School,Nemarluk School,,,,,,,,,,,,,,,
ANULA,Anula Primary School,,,,,,,,,,,,,,,,
BAKEWELL,Bakewell Primary School,,,,,,,,,,,,,,,,
FREDS PASS,Bees Creek Primary School,Sattler Christian College,,,,,,,,,,,,,,,
BERRY SPRINGS,Berry Springs Primary School,,,,,,,,,,,,,,,,
GILLEN,Bradshaw Primary School,Gillen Primary School,,,,,,,,,,,,,,,
BRAITLING,Braitling Primary School,,,,,,,,,,,,,,,,
DURACK,Durack Primary School,,,,,,,,,,,,,,,,
GIRRAWEEN,Girraween Primary School,,,,,,,,,,,,,,,,
GRAY,Gray Primary School,Good Shepherd Lutheran College - Palmerston Campus,,,,,,,,,,,,,,,
JINGILI,Jingili Primary School,,,,,,,,,,,,,,,,
KATHERINE SOUTH,Katherine South Primary School,,,,,,,,,,,,,,,,
LARRAKEYAH,Larrakeyah Primary School,,,,,,,,,,,,,,,,
LEANYER,Leanyer Primary School,Good Shepherd Lutheran College - St Andrews Campus,,,,,,,,,,,,,,,
LUDMILLA,Ludmilla Primary School,,,,,,,,,,,,,,,,
MILLNER,Millner Primary School,,,,,,,,,,,,,,,,
MOULDEN,Moulden Primary School,,,,,,,,,,,,,,,,
NAKARA,Nakara Primary School,,,,,,,,,,,,,,,,
PARAP,Parap Primary School,,,,,,,,,,,,,,,,
STUART PARK,Stuart Park Primary School,,,,,,,,,,,,,,,,
WAGAMAN,Wagaman Primary School,,,,,,,,,,,,,,,,
WANGURI,Wanguri Primary School,Henbury School,,,,,,,,,,,,,,,
WULAGI,Wulagi Primary School,,,,,,,,,,,,,,,,
ALYANGULA,Alyangula Area School,,,,,,,,,,,,,,,,
BATCHELOR,Batchelor Area School,Woolaning Homeland Christian College,,,,,,,,,,,,,,,
JABIRU,Jabiru Area School,,,,,,,,,,,,,,,,
ALI CURUNG,Alekarenge School,Murray Downs School,,,,,,,,,,,,,,,
ANGURUGU,Angurugu School,,,,,,,,,,,,,,,,
BORROLOOLA,Borroloola School,,,,,,,,,,,,,,,,
GAPUWIYAK,Gapuwiyak School,,,,,,,,,,,,,,,,
GUNBALANYA,Gunbalanya School,,,,,,,,,,,,,,,,
KALKARINDJI,Kalkaringi School,,,,,,,,,,,,,,,,
LAJAMANU,Lajamanu School,,,,,,,,,,,,,,,,
MANINGRIDA,Maningrida College,,,,,,,,,,,,,,,,
MILINGIMBI,Milingimbi School,,,,,,,,,,,,,,,,
NGUKURR,Ngukurr School,,,,,,,,,,,,,,,,
NUMBULWAR,Numbulwar School,,,,,,,,,,,,,,,,
RAMINGINING,Ramingining School,,,,,,,,,,,,,,,,
GALIWINKU,Shepherdson College,Gawa Christian School,,,,,,,,,,,,,,,
YIRRKALA,Yirrkala School,Yirrkala Homeland School,,,,,,,,,,,,,,,
YUENDUMU,Yuendumu School,,,,,,,,,,,,,,,,
SADADEEN,Acacia Hill School,,,,,,,,,,,,,,,,
ADELAIDE RIVER,Adelaide River School,,,,,,,,,,,,,,,,
ENGAWALA,Alcoota School,,,,,,,,,,,,,,,,
ALPURRURULAM,Alpurrurulam School,,,,,,,,,,,,,,,,
AMOONGUNA,Amoonguna School,,,,,,,,,,,,,,,,
AMPILATWATJA,Ampilatwatja School,,,,,,,,,,,,,,,,
AREYONGA,Areyonga School,,,,,,,,,,,,,,,,
BARUNGA,Barunga School,,,,,,,,,,,,,,,,
BELYUEN,Belyuen School,,,,,,,,,,,,,,,,
ANATYE,Bonya School,,,,,,,,,,,,,,,,
BAINES,Bulla Camp School,,,,,,,,,,,,,,,,
BULMAN WEEMOL,Bulman School,,,,,,,,,,,,,,,,
CANTEEN CREEK,Canteen Creek School,,,,,,,,,,,,,,,,
DOUGLAS-DALY,Douglas Daly School,,,,,,,,,,,,,,,,
DUNDEE BEACH,Dundee Beach School,,,,,,,,,,,,,,,,
ELLIOTT,Elliott School,,,,,,,,,,,,,,,,
WUTUNUGURRA,Epenarra School,,,,,,,,,,,,,,,,
FINKE,Finke School,,,,,,,,,,,,,,,,
HAASTS BLUFF,Haasts Bluff School,,,,,,,,,,,,,,,,
ATITJERE,Harts Range School,,,,,,,,,,,,,,,,
JILKMINGGAN,Jilkminggan School,,,,,,,,,,,,,,,,
LARAMBA,Laramba School,,,,,,,,,,,,,,,,
PETERMANN,Watarrka School,,,,,,,,,,,,,,,,
MINJILANG,Mamaruni School,,,,,,,,,,,,,,,,
MATARANKA,Mataranka School,,,,,,,,,,,,,,,,
PAPUNYA,Mbunghara School,Papunya School,,,,,,,,,,,,,,,
MIDDLE POINT,Middle Point School,,,,,,,,,,,,,,,,
MILIKAPITI,Milikapiti School,,,,,,,,,,,,,,,,
MILYAKBURRA,Milyakburra School,,,,,,,,,,,,,,,,
MINIYERI,Minyerri School,,,,,,,,,,,,,,,,
YUELAMU,Mount Allan School,,,,,,,,,,,,,,,,
MUTITJULU,Mutitjulu School,,,,,,,,,,,,,,,,
BARROW CREEK,Neutral Junction School,,,,,,,,,,,,,,,,
NEWCASTLE WATERS,Newcastle Waters School,,,,,,,,,,,,,,,,
NGANMARRIYANGA,Nganmarriyanga School,,,,,,,,,,,,,,,,
HERMANNSBURG,Ntaria School,,,,,,,,,,,,,,,,
NYIRRIPI,Nyirripi School,,,,,,,,,,,,,,,,
PEPPIMENARTI,Peppimenarti School,Nganambala School,,,,,,,,,,,,,,,
PIGEON HOLE,Pigeon Hole School,,,,,,,,,,,,,,,,
PINE CREEK,Pine Creek School,,,,,,,,,,,,,,,,
PIRLANGIMPI,Pularumpi School,,,,,,,,,,,,,,,,
WILORA,Stirling School,,,,,,,,,,,,,,,,
