PARK RIDGE,Saint Philomena School,Park Ridge State School,Park Ridge State High School,Parklands Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELTON,Mt Maria College,Mitchelton State School,Mitchelton State High School,Mitchelton Special School,Our Lady of Dolours School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNNYBANK HILLS,Autism Queensland Education & Therapy Centre,Sunnybank Hills State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUNDAVRA,Lundavra State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIOMA,Kioma State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST LAWRENCE,St Lawrence State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGHAM,Hinchinbrook Christian School,Ingham State School,Ingham State High School,Our Lady of Lourdes Primary School,Gilroy Santa Maria College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACKAY,St Patrick's College,Mackay Central State School,Mercy College,St Brendan's Catholic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENNYSON,Barrett Adolescent Centre Special School,Tennyson Special School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWES BAY,Cleveland Education and Training Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOWAH,Yowah State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILTON,Hubbard's School,Milton State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAGLEBY,Eagleby Learning Centre - Centre for Continuing Secondary Education,Eagleby South State School,Eagleby State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER,Spinifex State College - Mount Isa - Senior Campus,Mount Isa Special School,Mount Isa School of the Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOWONG,Queensland Academy for Science Mathematics and Technology,Toowong State School,St Ignatius School,Stuartholme School,Brisbane Boys' College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKY POINT,Western Cape College,Western Cape College - Weipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKSIDE,Spinifex State College - Mount Isa Education and Training Precinct,Spinifex State College - Mount Isa - Junior Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMA,Roma State College,Roma State College - Junior Campus,Roma State College - Middle Campus,Roma State College - Senior Campus,St John's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRISBANE,Albert Park Flexible Learning Centre,St Joseph's College,All Hallows' School,Brisbane Grammar School,Brisbane Girls' Grammar School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH BRISBANE,Lady Cilento Children's Hospital School,Brisbane State High School,St Laurence's College,Somerville House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIOTT,Burnett Youth Learning Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELVIN GROVE,Queensland Academy for Creative Industries,Kelvin Grove State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THURSDAY ISLAND,Tagai State College,Tagai State College - Thursday Island Primary Campus,Tagai State College - Thursday Island Secondary,Our Lady of the Sacred Heart School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
