DARLING SOUTH,The Currajong School,,,,,,,,,,,,,,,,,,,,,,
MANSFIELD,Mansfield Autism Statewide Services,Mansfield Primary School,Mansfield Secondary College,St Mary's School,Mansfield Rudolf Steiner School,Geelong Grammar School - Timbertop Campus,,,,,,,,,,,,,,,,,
HAWTHORN,Rossbourne School,Swinburne Senior Secondary College,Hawthorn West Primary School,Glenferrie Primary School,St Joseph's School,Scotch College,Strathcona Baptist Girls' Grammar - Hawthorn Campus,Bialik College,Erasmus School,SEDA College (Victoria) - Hawthorn Talented Player Program (TPP),,,,,,,,,,,,,
KEW,St Paul's College Kew,Kew Primary School,Xavier College,Xavier College - Burke Hall Campus,Sacred Heart School,Genazzano FCJ College,Ruyton Girls' School,Methodist Ladies' College,Trinity Grammar School Kew,Carey Baptist Grammar School,"Preshil, The Margaret Lyttle Memorial School","Preshil, The Margaret Lyttle Memorial School - Blackhall-Kalimna Preshil Senior School",Giant Steps Melbourne,,,,,,,,,,
SYDENHAM,Catholic Regional College Sydenham,Sydenham - Hillside Primary School,Copperfield College-Sydenham Junior Campus,Emmaus Catholic Primary School,,,,,,,,,,,,,,,,,,,
BENDIGO,Catholic College Bendigo,Bendigo Senior Secondary College,Bendigo Primary School,Camp Hill Primary School,Spring Gully Primary School,Kalianna Special School,Weeroona College Bendigo,Bendigo South East 7-10 Secondary College,St Kilian's School,Doxa School Bendigo,Creek Street Christian College,Girton Grammar School,Lightning Reef Primary School,Bendigo Senior Secondary College-Netschool Campus,SEDA College (Victoria) - AFL-  Bendigo,,,,,,,,
WILLIAMSTOWN,Williamstown High School,Williamstown Primary School,Williamstown North Primary School,Williamstown High School-Bayview Campus,Bayside P-12 College,St Mary's School,Sandridge School,,,,,,,,,,,,,,,,
WODONGA,Wodonga Senior Secondary College,Indie School Wodonga,Wodonga Primary School,Wodonga West Primary School,Wodonga South Primary School,Wodonga Middle Years College,Wodonga Middle Years College-Flying Fruit Fly Circus School,St Augustine's School,St Monica's School,Catholic College Wodonga,Wodonga Middle Years College-HighWater Campus,Wodonga Senior Secondary College-Wodonga Flexible Learning Centre,,,,,,,,,,,
ESSENDON,Essendon East Keilor District College-Senior Campus,Essendon Primary School,Aberfeldie Primary School,Buckley Park College,St Columba's College,St Therese's School,St Bernard's College,Resurrection House,Lowther Hall Anglican Grammar School,Penleigh & Essendon Grammar School - Essendon Campus,,,,,,,,,,,,,
ECHUCA,Echuca College,Echuca Primary School,Echuca East Primary School,Echuca West Primary School,Echuca South Primary School,Echuca Specialist School,St Joseph's College,River City Christian College,,,,,,,,,,,,,,,
SUNSHINE,Sunshine Harvester Primary School Braybrook Campus,Sunshine Primary School,Sunshine Heights Primary School,Glengala Primary School,Sunshine Special Developmental School,Sunshine College,Our Lady of the Immaculate Conception School,Sunshine Christian School,Sunshine Harvester Primary School,Sunshine College-Sunshine Work Education Training Unit,Sunshine Harvester Primary School Sunvale Campus,Hester Hornbrook Academy - Sunshine,SEDA College (Victoria) - AFL -  Sunshine,,,,,,,,,,
BURWOOD EAST,Blackburn English Language School,Burwood East Primary School,Burwood Heights Primary School,Burwood East Special Developmental School,Forest Hill College,Forest Hill College-Forest Hill Deaf Facility,,,,,,,,,,,,,,,,,
PENSHURST,Penshurst Primary School,St Joseph's School,,,,,,,,,,,,,,,,,,,,,
MILDURA,Mildura Senior College,Mildura Primary School,Mildura West Primary School,Mildura Specialist School,Ranfurly Primary School,Chaffey Secondary College,St Joseph's College Mildura,Sacred Heart School,St Paul's Primary School,Trinity Lutheran College,Red Cliffs Secondary College-FLO Connect Campus,St Joseph's College Mildura - Mercy Campus,St Joseph's College Mildura - VCAL Precinct Campus,,,,,,,,,,
MYRTLEFORD,Myrtleford P-12 College,St Mary's School,Marian College,,,,,,,,,,,,,,,,,,,,
TRARALGON,Traralgon College,Lavalla Catholic College,Grey Street Primary School (Traralgon),Traralgon (Stockdale Road) Primary School,Traralgon (Kosciuszko Street) Primary School,Traralgon (Liddiard Road) Primary School,Latrobe Special Developmental School,Traralgon College-East Campus,St Michael's School,St Gabriel's School,Lavalla Catholic College - St Paul's Campus,Flinders Christian Community College - Traralgon Campus,St Paul's Anglican Grammar School - Traralgon Campus,Traralgon (Liddiard Road) Primary School-Traralgon Deaf Facility,SEDA College (Victoria) - AFL Traralgon & Multi 2 Traralgon,,,,,,,,
FRENCH ISLAND,Perseverance Primary School,,,,,,,,,,,,,,,,,,,,,,
WONTHAGGI,Wonthaggi Secondary College,Wonthaggi Primary School,Wonthaggi North Primary School,Wonthaggi Secondary College-Dudley Campus,Bass Coast Specialist School,St Joseph's School,Wonthaggi Secondary College-Community VCAL Program Campus,,,,,,,,,,,,,,,,
EPPING,St Monica's College,Epping Primary School,Epping Primary School-Greenbrook Campus,Meadowglen Primary School,Epping Views Primary School,Epping Secondary College,Lalor North Secondary College,St Peter's School,St Monica's College - Dalton Road Campus,Al Siraat College,Mill Park Secondary College-Senior Campus,St Mary of the Cross MacKillop Catholic Parish Primary School,Yea High School-Memorial Hall campus,Harvest Home Primary School,,,,,,,,,
SANDRINGHAM,Sandringham College,Sandringham Primary School,Sandringham East Primary School,Sandringham College-Sandringham Year 7-10 Campus,Sacred Heart School,Firbank Grammar School - Sandringham Campus,,,,,,,,,,,,,,,,,
BEACONSFIELD,St Francis Xavier College,Beaconsfield Primary School,,,,,,,,,,,,,,,,,,,,,
HALLAM,Hallam Senior Secondary College,Hallam Primary School,,,,,,,,,,,,,,,,,,,,,
COLLINGWOOD,Collingwood English Language School,Collingwood College,St Joseph's School,Collingwood College-Collingwood Alternative School,,,,,,,,,,,,,,,,,,,
BROADMEADOWS,Broadmeadows Valley Primary School Meadowfair North Campus,Broadmeadows Primary School,Hume Valley School,Broadmeadows Valley Primary School,Broadmeadows Special Developmental School-Sorrento Street Campus,Hume Central Secondary College-Blair Street Campus,Hume Central Secondary College-Dimboola Road Campus,St Dominic's School,Penola Catholic College,Sirius College,Meadows Primary School,Hume Central Secondary College,Hume Central Secondary College-Hume Central English Language Campus,Collingwood English Language School-Broadmeadows Campus,Hume Valley School-Tanderrum Way Campus,Broadmeadows Special Developmental School,Roxburgh College-The Gateway School,SEDA College (Victoria) - Basketball Broadmeadows,,,,,
NOBLE PARK,Noble Park English Language School,Noble Park Primary School,Harrisfield Primary School,Yarraman Oaks Primary School,Wallarano Primary School,Carwatha College P-12,Noble Park Secondary College,St Anthony's School,Berry Street School,,,,,,,,,,,,,,
