WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
DARKAN,Darkan Primary School,,,,,,,,,,,,,,
SUBIACO,School of Special Education Needs - Medical and Mental Health,Perth Modern School,Subiaco Primary School,,,,,,,,,,,,
COOLBINIA,Sir David Brand School,Coolbinia Primary School,,,,,,,,,,,,,
YANGEBUP,Divine Mercy College,Yangebup Primary School,Mater Christi Catholic Primary School,,,,,,,,,,,,
WILSON,Rehoboth Christian College - Wilson Campus,Wilson Primary School,,,,,,,,,,,,,
MIDDLE SWAN,Swan Christian College - Junior School Campus,St Brigid's Primary School,La Salle College,Swan Christian College,Swan Christian College - Swanonline Campus,,,,,,,,,,
CANNINGTON,Sevenoaks Senior College,Cannington Community College,Cannington Community Education Support Centre,,,,,,,,,,,,
KARDINYA,North Lake Senior Campus,Kardinya Primary School,,,,,,,,,,,,,
BASSENDEAN,Cyril Jackson Senior Campus,Cyril Jackson Senior Campus Education Support Centre,Bassendean Primary School,Anzac Terrace Primary School,St Michael's School,Casa Mia Montessori Community School,,,,,,,,,
TUART HILL,Tuart College,Tuart Hill Primary School,St Kieran Catholic Primary School,Servite College,,,,,,,,,,,
BENTLEY,Canning College,Bentley Primary School,Al-Hidayah Islamic School,,,,,,,,,,,,
NARROGIN,Western Australian College Of Agriculture - Narrogin,Narrogin Senior High School,Narrogin Primary School,East Narrogin Primary School,St Matthew's School,,,,,,,,,,
DENMARK,Western Australian College Of Agriculture - Denmark,Spirit of Play Community School,Denmark Senior High School,Denmark Primary School,Golden Hill Steiner School,,,,,,,,,,
CUNDERDIN,Western Australian College Of Agriculture - Cunderdin,Woodthorpe School - Cunderdin Campus,Cunderdin District High School,,,,,,,,,,,,
GIBSON,Wongutha Christian Aboriginal Parent-Directed School,,,,,,,,,,,,,,
MORAWA,Western Australian College Of Agriculture - Morawa,Morawa District High School,,,,,,,,,,,,,
DIANELLA,North East Metropolitan Language Development Centre,Banksia Montessori School,Dianella Secondary College,Sutherland Dianella Primary School,Dianella Heights Primary School,West Morley Primary School,Dianella Primary College,North Morley Primary School,Dianella Secondary College Education Support Centre,Our Lady's Assumption School,Carmel School,St Andrew's Grammar,Australian Islamic College (Dianella),,
PADBURY,West Coast Language Development Centre,Padbury Primary School,Bambara Primary School,South Padbury Primary School,School of Special Education Needs: Sensory,Padbury Catholic Primary School,School of Special Educational Needs: Behaviour and Engagement,St Stephen's School - Early Learning Centre,,,,,,,
WILLETTON,Woodthorpe School,Willetton Senior High School,Willetton Primary School,Burrendah Primary School,Rostrata Primary School,Castlereagh School,Orana Catholic Primary School,,,,,,,,
WOKALUP,Western Australian College Of Agriculture - Harvey,,,,,,,,,,,,,,
MINDARIE,Mindarie Senior College,Mindarie Primary School,Quinns Baptist College,Peter Moyes Anglican Community School,,,,,,,,,,,
MANDURAH,John Tonkin College Education Support Centre,Coodanup College,Mandurah Primary School,Dudley Park Primary School,North Mandurah Primary School,Assumption Catholic Primary School,Mandurah Catholic College,Frederick Irwin Anglican School,John Tonkin College - Tindale Campus,John Tonkin College,SMYL Community College - Davey Street Campus,,,,
